Generated ID,Course Name,Type,Course Category,Course Sub Category,Section,Student Program
0245ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0245ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0245ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0245ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0245ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-BA
0277ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0277ADB,Applied Project I (BA),Schedule,Major Courses,Capstone,Section A,BSc-BA
0277ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0277ADB,Introduction to Sociocultural Anthropology,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
0280ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0280ADB,Hardware and Systems Fundamentals,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0280ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-CS
0280ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0280ADB,African Music and the Contemporary Art Music Scene,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
0285ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section C,BSc-CS
0285ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0285ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-CS
0285ADB,Applied Calculus - Part I,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-CS
0285ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-CS
0285ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section E,BSc-CS
0300ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0300ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0300ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0300ADB,Supply Chain Management,Schedule,Major Courses,Major Electives,Section A,BSc-BA
0300ADB,Undergraduate Thesis I (BA),Schedule,Major Courses,Capstone,Section A,BSc-BA
0308ADB,Embedded Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
0308ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
0308ADB,Machine Learning,Schedule,Major Courses,Major Electives,Section A,BSc-CE
0308ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-CE
0308ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-CE
0308ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CE
0327ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-BA
0327ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0327ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0327ADB,Real Estate Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
0327ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section D,BSc-BA
0328ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-BA
0328ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0328ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0328ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0328ADB,Real Estate Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
0337ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section B,BSc-CS
0337ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
0337ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0337ADB,Machine Learning,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0337ADB,Cloud Computing,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0339ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section C,BSc-CS
0339ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0339ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section A,BSc-CS
0339ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section E,BSc-CS
0339ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section E,BSc-CS
0340ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-ME
0340ADB,Thermodynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0340ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-ME
0340ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section B,BSc-ME
0340ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section G,BSc-ME
0365ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section B,BSc-MIS
0365ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0365ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-MIS
0365ADB,E-Commerce,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0365ADB,Undergraduate Thesis I (CS),Schedule,Major Courses,Capstone,Section A,BSc-MIS
0365ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-MIS
0379ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
0379ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-ME
0379ADB,Mechanics of Machines & Engineering Vibration,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0379ADB,Heat Transfer,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0379ADB,Hydraulic & Fluid Machinery,Schedule,Major Courses,Major Electives,Section A,BSc-ME
0379ADB,Religion in Africa,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-ME
0395ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section A,BSc-MIS
0395ADB,Undergraduate Thesis I (BA),Schedule,Major Courses,Capstone,Section A,BSc-MIS
0395ADB,Web Technologies,Schedule,Major Courses,Required Major Classes,Section B,BSc-MIS
0395ADB,Systems Analysis and Design,Schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0395ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-MIS
0398ADB,Deep Learning,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0398ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
0398ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-ME
0398ADB,Mechanics of Machines & Engineering Vibration,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0398ADB,Heat Transfer,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0398ADB,Hydraulic & Fluid Machinery,Schedule,Major Courses,Major Electives,Section A,BSc-ME
0407ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section A,BSc-CS
0407ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
0407ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0407ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0407ADB,Deep Learning,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0409ADB,AI in Business: Empowering Tomorrow's Leaders,Do not schedule,Major Courses,Major Electives,Section A,BSc-MIS
0409ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-MIS
0409ADB,E-Commerce,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0409ADB,Undergraduate Thesis I (CS),Schedule,Major Courses,Capstone,Section A,BSc-MIS
0409ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-MIS
0419ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-BA
0419ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0419ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0419ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section A,BSc-BA
0421ADB,Entrepreneurship I,Schedule,Major Courses,Capstone,Section A,BSc-BA
0421ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0421ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0421ADB,Organisational Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
0440ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0440ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0440ADB,Undergraduate Thesis I (BA),Schedule,Major Courses,Capstone,Section A,BSc-BA
0440ADB,Religion in Africa,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
0453ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0453ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0453ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0453ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0453ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-BA
0455ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section C,BSc-MIS
0455ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-MIS
0455ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0455ADB,Systems Analysis and Design,Schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0457ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
0462ADB,Entrepreneurship I,Schedule,Major Courses,Capstone,Section A,BSc-BA
0462ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0462ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0462ADB,International Finance,Schedule,Major Courses,Major Electives,Section A,BSc-BA
0475ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0475ADB,Hardware and Systems Fundamentals,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0475ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0475ADB,African Philosophical Thought,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
0475ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-CS
0478ADB,Supply Chain Management,Schedule,Major Courses,Major Electives,Section A,BSc-ME
0478ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
0478ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-ME
0478ADB,Mechanics of Machines & Engineering Vibration,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0478ADB,Heat Transfer,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0478ADB,Hydraulic & Fluid Machinery,Schedule,Major Courses,Major Electives,Section A,BSc-ME
0479ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
0479ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0479ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section D,BSc-BA
0479ADB,African Philosophical Thought,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
0479ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section G,BSc-BA
0493ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
0493ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0493ADB,Applied Calculus - Part I,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-BA
0493ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
0493ADB,Comparative Politics,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
0493ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section F,BSc-BA
0506ADB,AI in Business: Empowering Tomorrow's Leaders,Do not schedule,Major Courses,Major Electives,Section A,BSc-MIS
0506ADB,Undergraduate Thesis I (BA),Schedule,Major Courses,Capstone,Section A,BSc-MIS
0506ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0506ADB,E-Commerce,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0506ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-MIS
0513ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
0513ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0513ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0513ADB,Cloud Computing,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0513ADB,Deep Learning,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0513ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-CS
0522ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0522ADB,Hardware and Systems Fundamentals,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0522ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-CS
0522ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0522ADB,Religion in Africa,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
0526ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section C,BSc-MIS
0526ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0526ADB,Systems Analysis and Design,Schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
0526ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-MIS
0528ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-MT
0528ADB,Multivariable Calculus and Linear Algebra,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-MT
0528ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-MT
0528ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section A,BSc-MT
0528ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section H,BSc-MT
0531ADB,Entrepreneurship I,Schedule,Major Courses,Capstone,Section A,BSc-BA
0531ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0531ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0531ADB,Organisational Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
0531ADB,Computer Organization and Architecture,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
0531ADB,Signals & Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
0531ADB,Instrumentation for Engineering,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
0531ADB,System Dynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
0531ADB,Leadership Seminar IV for Engineers: Leadership as Service,Schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CE
0535ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0535ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0535ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0535ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0535ADB,International Finance,Schedule,Major Courses,Major Electives,Section A,BSc-BA
0541ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0541ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0541ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
0541ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0541ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section A,BSc-BA
0552ADB,Signals & Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-EEE
0552ADB,AC Electrical Machines,Schedule,Major Courses,Required Major Classes,Section A,BSc-EEE
0552ADB,Instrumentation for Engineering,Schedule,Major Courses,Required Major Classes,Section A,BSc-EEE
0552ADB,System Dynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-EEE
0552ADB,Leadership Seminar IV for Engineers: Leadership as Service,Schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-EEE
0557ADB,AI in Business: Empowering Tomorrow's Leaders,Do not schedule,Major Courses,Major Electives,Section A,BSc-MIS
0557ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-MIS
